time,price,mean,min,max,sd
2019-7-7 02:32:30,1300661,260132,0,1300661,520264
2019-7-7 02:32:31,1300397,520211,0,1300661,637126
2019-7-7 02:32:32,1300524,780316,0,1300661,637125
2019-7-7 02:32:33,1300453,1040407,0,1300661,520203
2019-7-7 02:32:34,1300451,1300497,1300397,1300661,91
2019-7-7 02:32:34,1300451,1300455,1300397,1300524,40
2019-7-7 02:32:35,1300484,1300472,1300451,1300524,28
2019-7-7 02:32:36,1300684,1300504,1300451,1300684,90
2019-7-7 02:32:37,1300686,1300551,1300451,1300686,109
2019-7-7 02:32:38,1300560,1300573,1300451,1300686,98
2019-7-7 02:32:39,1300657,1300614,1300484,1300686,79
2019-7-7 02:32:40,1300590,1300635,1300560,1300686,51
2019-7-7 02:32:40,1300526,1300603,1300526,1300686,59
2019-7-7 02:32:41,1300590,1300584,1300526,1300657,43
2019-7-7 02:32:42,1300526,1300577,1300526,1300657,48
2019-7-7 02:32:43,1300459,1300538,1300459,1300590,48
2019-7-7 02:32:44,1300328,1300485,1300328,1300590,89
2019-7-7 02:32:45,1300476,1300475,1300328,1300590,86
2019-7-7 02:32:46,1300476,1300453,1300328,1300526,66
2019-7-7 02:32:47,1300598,1300467,1300328,1300598,85
2019-7-7 02:32:47,1300328,1300441,1300328,1300598,102
2019-7-7 02:32:48,1300541,1300483,1300328,1300598,90
2019-7-7 02:32:49,1300607,1300510,1300328,1300607,102
2019-7-7 02:32:50,1300607,1300536,1300328,1300607,106
2019-7-7 02:32:51,1300916,1300599,1300328,1300916,188
2019-7-7 02:32:52,1300828,1300699,1300541,1300916,145
2019-7-7 02:32:53,1300916,1300774,1300607,1300916,140
2019-7-7 02:32:54,1300933,1300840,1300607,1300933,122
2019-7-7 02:32:55,1300950,1300908,1300828,1300950,42
2019-7-7 02:32:56,1300900,1300905,1300828,1300950,42
2019-7-7 02:32:57,1300933,1300926,1300900,1300950,17
2019-7-7 02:32:58,1300933,1300929,1300900,1300950,16
2019-7-7 02:32:59,1300933,1300929,1300900,1300950,16
2019-7-7 02:32:59,1301173,1300974,1300900,1301173,100
2019-7-7 02:33:00,1301174,1301029,1300933,1301174,117
2019-7-7 02:33:01,1300981,1301038,1300933,1301174,111
2019-7-7 02:33:02,1300981,1301048,1300933,1301174,103
2019-7-7 02:33:03,1300936,1301049,1300936,1301174,102
2019-7-7 02:33:04,1300955,1301005,1300936,1301174,85
2019-7-7 02:33:05,1300955,1300961,1300936,1300981,17
2019-7-7 02:33:06,1300953,1300956,1300936,1300981,14
2019-7-7 02:33:06,1300953,1300950,1300936,1300955,7
2019-7-7 02:33:07,1300963,1300955,1300953,1300963,3
2019-7-7 02:33:08,1300963,1300957,1300953,1300963,4
2019-7-7 02:33:09,1300953,1300957,1300953,1300963,4
2019-7-7 02:33:10,1300953,1300957,1300953,1300963,4
2019-7-7 02:33:11,1300953,1300957,1300953,1300963,4
2019-7-7 02:33:12,1300944,1300953,1300944,1300963,6
2019-7-7 02:33:13,1300944,1300949,1300944,1300953,4
2019-7-7 02:33:14,1300944,1300947,1300944,1300953,4
2019-7-7 02:33:14,1300964,1300949,1300944,1300964,7
2019-7-7 02:33:15,1300966,1300952,1300944,1300966,10
2019-7-7 02:33:16,1300967,1300957,1300944,1300967,10
2019-7-7 02:33:17,1300724,1300913,1300724,1300967,94
2019-7-7 02:33:19,1300772,1300878,1300724,1300967,107
2019-7-7 02:33:20,1300725,1300830,1300724,1300967,112
2019-7-7 02:33:20,1300868,1300811,1300724,1300967,93
2019-7-7 02:33:21,1300670,1300751,1300670,1300868,66
2019-7-7 02:33:22,1300670,1300741,1300670,1300868,74
2019-7-7 02:33:23,1300916,1300769,1300670,1300916,102
2019-7-7 02:33:24,1300916,1300808,1300670,1300916,114
2019-7-7 02:33:25,1300916,1300817,1300670,1300916,120
2019-7-7 02:33:26,1300785,1300840,1300670,1300916,99
2019-7-7 02:33:26,1300785,1300863,1300785,1300916,64
2019-7-7 02:33:27,1300866,1300853,1300785,1300916,58
2019-7-7 02:33:28,1300866,1300843,1300785,1300916,51
2019-7-7 02:33:29,1300864,1300833,1300785,1300866,39
2019-7-7 02:33:30,1300966,1300869,1300785,1300966,57
2019-7-7 02:33:31,1300968,1300906,1300864,1300968,49
2019-7-7 02:33:32,1300968,1300926,1300864,1300968,50
2019-7-7 02:33:33,1301015,1300956,1300864,1301015,49
2019-7-7 02:33:33,1301015,1300986,1300966,1301015,23
2019-7-7 02:33:34,1301100,1301013,1300968,1301100,48
2019-7-7 02:33:35,1301056,1301030,1300968,1301100,44
2019-7-7 02:33:37,1301056,1301048,1301015,1301100,31
2019-7-7 02:33:38,1301056,1301056,1301015,1301100,26
2019-7-7 02:33:38,1301056,1301064,1301056,1301100,17
2019-7-7 02:33:39,1301144,1301073,1301056,1301144,35
2019-7-7 02:33:40,1301144,1301091,1301056,1301144,43
2019-7-7 02:33:41,1301199,1301119,1301056,1301199,55
2019-7-7 02:33:42,1301510,1301210,1301056,1301510,156
2019-7-7 02:33:43,1301453,1301290,1301144,1301510,158
2019-7-7 02:33:44,1301453,1301351,1301144,1301510,149
2019-7-7 02:33:44,1301253,1301373,1301199,1301510,123
2019-7-7 02:33:45,1301384,1301410,1301253,1301510,88
2019-7-7 02:33:46,1301239,1301356,1301239,1301453,93
2019-7-7 02:33:47,1301484,1301362,1301239,1301484,100
2019-7-7 02:33:48,1301410,1301354,1301239,1301484,94
2019-7-7 02:33:49,1301410,1301385,1301239,1301484,80
2019-7-7 02:33:50,1301507,1301410,1301239,1301507,93
2019-7-7 02:33:51,1301557,1301473,1301410,1301557,57
2019-7-7 02:33:51,1301642,1301505,1301410,1301642,88
2019-7-7 02:33:52,1301700,1301563,1301410,1301700,101
2019-7-7 02:33:53,1301926,1301666,1301507,1301926,145
2019-7-7 02:33:54,1301934,1301751,1301557,1301934,152
2019-7-7 02:33:55,1301681,1301776,1301642,1301934,126
2019-7-7 02:33:56,1302222,1301892,1301681,1302222,196
2019-7-7 02:33:57,1302184,1301989,1301681,1302222,197
2019-7-7 02:33:58,1302405,1302085,1301681,1302405,251
2019-7-7 02:33:59,1302338,1302166,1301681,1302405,255
2019-7-7 02:33:59,1302338,1302297,1302184,1302405,81
2019-7-7 02:34:00,1302164,1302285,1302164,1302405,94
2019-7-7 02:34:01,1302469,1302342,1302164,1302469,101
2019-7-7 02:34:02,1302197,1302301,1302164,1302469,110
2019-7-7 02:34:03,1302415,1302316,1302164,1302469,119
2019-7-7 02:34:04,1302415,1302332,1302164,1302469,125
2019-7-7 02:34:05,1302090,1302317,1302090,1302469,147
2019-7-7 02:34:06,1302183,1302260,1302090,1302415,131
2019-7-7 02:34:07,1302090,1302238,1302090,1302415,147
2019-7-7 02:34:08,1302090,1302173,1302090,1302415,125
2019-7-7 02:34:08,1302090,1302108,1302090,1302183,37
2019-7-7 02:34:09,1302070,1302104,1302070,1302183,39
2019-7-7 02:34:10,1302285,1302125,1302070,1302285,80
2019-7-7 02:34:11,1302324,1302171,1302070,1302324,109
2019-7-7 02:34:12,1302405,1302234,1302070,1302405,132
2019-7-7 02:34:13,1302450,1302306,1302070,1302450,131
2019-7-7 02:34:14,1302495,1302391,1302285,1302495,77
2019-7-7 02:34:14,1302984,1302531,1302324,1302984,233
2019-7-7 02:34:16,1303131,1302693,1302405,1303131,302
2019-7-7 02:34:17,1303041,1302820,1302450,1303131,288
2019-7-7 02:34:18,1303212,1302972,1302495,1303212,251
2019-7-7 02:34:19,1303194,1303112,1302984,1303212,87
2019-7-7 02:34:19,1303041,1303123,1303041,1303212,72
2019-7-7 02:34:20,1303041,1303105,1303041,1303212,79
2019-7-7 02:34:21,1303040,1303105,1303040,1303212,79
2019-7-7 02:34:22,1303040,1303071,1303040,1303194,61
2019-7-7 02:34:23,1303040,1303040,1303040,1303041,0
2019-7-7 02:34:24,1303040,1303040,1303040,1303041,0
2019-7-7 02:34:25,1303193,1303070,1303040,1303193,61
2019-7-7 02:34:25,1303294,1303121,1303040,1303294,104
2019-7-7 02:34:26,1303294,1303172,1303040,1303294,114
2019-7-7 02:34:27,1303208,1303205,1303040,1303294,92
2019-7-7 02:34:28,1303313,1303260,1303193,1303313,49
2019-7-7 02:34:29,1303313,1303284,1303208,1303313,39
2019-7-7 02:34:30,1303313,1303288,1303208,1303313,40
2019-7-7 02:34:31,1303301,1303289,1303208,1303313,41
2019-7-7 02:34:32,1303311,1303310,1303301,1303313,4
2019-7-7 02:34:33,1303252,1303298,1303252,1303313,23
2019-7-7 02:34:34,1303262,1303287,1303252,1303313,25
2019-7-7 02:34:35,1303284,1303282,1303252,1303311,22
2019-7-7 02:34:36,1303268,1303275,1303252,1303311,20
2019-7-7 02:34:37,1303271,1303267,1303252,1303284,10
2019-7-7 02:34:38,1303592,1303335,1303262,1303592,128
2019-7-7 02:34:38,1303834,1303449,1303268,1303834,228
2019-7-7 02:34:40,1303698,1303532,1303268,1303834,228
2019-7-7 02:34:40,1303659,1303610,1303271,1303834,187
2019-7-7 02:34:41,1303485,1303653,1303485,1303834,115
2019-7-7 02:34:42,1303313,1303597,1303313,1303834,180
2019-7-7 02:34:43,1303535,1303538,1303313,1303698,136
2019-7-7 02:34:44,1303505,1303499,1303313,1303659,111
2019-7-7 02:34:45,1303391,1303445,1303313,1303535,82
2019-7-7 02:34:46,1303391,1303427,1303313,1303535,81
2019-7-7 02:34:47,1303391,1303442,1303391,1303535,63
2019-7-7 02:34:48,1303391,1303413,1303391,1303505,45
2019-7-7 02:34:48,1303391,1303391,1303391,1303391,0
2019-7-7 02:34:49,1303566,1303426,1303391,1303566,70
2019-7-7 02:34:50,1303658,1303479,1303391,1303658,112
